Title,Year
The_Waste_Land,1922
The_Hollow_Men,1925
The_Love_Song_of_J.Alfred_Prufrock,1915
Burnt_Norton,1936
Ash_Wednesday,1930
Sweeney_among_the_Nightingales,1918
Gernontion,1920
Portrait_of_a_Lady,1917
Rhapsody_on_a_Windy_Night,1911
Journey_of_the_Magi,1927
Sweeney_Erect,1919
The_Dry_Salvages,1941
Preludes,1910
Marina,1930
Whispers_of_Immortality,1919
La_Figlia_Che_Piange,1917
Aunt_Helen,1915
Morning_at_the_Window,1914
Macavity_The_Mystery_Cat,1939
The_Naming_of_Cats,1939
